logPriceRatio,rHold,rTime,policyAction
-39.0,5.0,2.0,10
-28.0,5.0,2.0,10
-51.0,4.0,2.0,10
-40.0,4.0,2.0,10
-29.0,4.0,2.0,10
-51.0,3.0,2.0,10
-40.0,3.0,2.0,10
-29.0,3.0,2.0,10
-51.0,2.0,2.0,10
-40.0,2.0,2.0,10
-29.0,2.0,2.0,10
-64.0,1.0,2.0,10
-52.0,1.0,2.0,10
-40.0,1.0,2.0,10
-29.0,1.0,2.0,10
-64.0,0.0,2.0,10
-52.0,0.0,2.0,10
-40.0,0.0,2.0,10
-29.0,0.0,2.0,10
-17.0,10.0,2.0,10
-40.0,9.0,2.0,10
-17.0,9.0,2.0,10
-40.0,8.0,2.0,10
-17.0,8.0,2.0,10
-40.0,7.0,2.0,10
-17.0,7.0,2.0,10
-40.0,6.0,2.0,10
-17.0,6.0,2.0,10
-40.0,5.0,2.0,10
-17.0,5.0,2.0,10
-52.0,4.0,2.0,10
-28.0,4.0,2.0,10
-17.0,4.0,2.0,10
-18.0,3.0,2.0,10
-18.0,2.0,2.0,10
-18.0,1.0,2.0,10
-41.0,0.0,2.0,10
-18.0,0.0,2.0,10
-6.0,10.0,2.0,10
-29.0,9.0,2.0,10
-6.0,9.0,2.0,10
-29.0,8.0,2.0,10
-6.0,8.0,2.0,10
-29.0,7.0,2.0,10
-6.0,7.0,2.0,10
-29.0,6.0,2.0,10
-6.0,6.0,2.0,10
-29.0,5.0,2.0,10
-6.0,5.0,2.0,10
-41.0,4.0,2.0,10
-6.0,4.0,2.0,10
-7.0,3.0,2.0,10
-7.0,2.0,2.0,10
-7.0,1.0,2.0,10
-30.0,0.0,2.0,10
-7.0,0.0,2.0,10
-76.0,4.0,2.0,10
-76.0,3.0,2.0,10
-52.0,3.0,2.0,10
-41.0,3.0,2.0,10
-65.0,2.0,2.0,10
-52.0,2.0,2.0,10
-41.0,2.0,2.0,10
-30.0,2.0,2.0,10
-41.0,1.0,2.0,10
-30.0,1.0,2.0,10
-28.0,3.0,2.0,10
-17.0,3.0,2.0,10
-6.0,3.0,2.0,10
-17.0,2.0,2.0,10
-6.0,2.0,2.0,10
-28.0,2.0,2.0,10
-17.0,1.0,2.0,10
-6.0,1.0,2.0,10
-76.0,2.0,2.0,10
-28.0,1.0,2.0,10
-17.0,0.0,2.0,10
-6.0,0.0,2.0,10
-76.0,1.0,2.0,10
-76.0,0.0,2.0,10
-28.0,0.0,2.0,10
-63.0,4.0,2.0,10
-39.0,4.0,2.0,10
-39.0,3.0,2.0,10
-51.0,1.0,2.0,10
-37.0,10.0,2.0,10
-26.0,10.0,2.0,10
-15.0,10.0,2.0,10
-50.0,9.0,2.0,10
-38.0,9.0,2.0,10
-26.0,9.0,2.0,10
-15.0,9.0,2.0,10
-50.0,8.0,2.0,10
-38.0,8.0,2.0,10
-26.0,8.0,2.0,10
-15.0,8.0,2.0,10
-50.0,7.0,2.0,10
-38.0,7.0,2.0,10
-26.0,7.0,2.0,10
-15.0,7.0,2.0,10
-50.0,6.0,2.0,10
-38.0,6.0,2.0,10
-26.0,6.0,2.0,10
-15.0,6.0,2.0,10
-50.0,5.0,2.0,10
-38.0,5.0,2.0,10
-26.0,5.0,2.0,10
-15.0,5.0,2.0,10
-50.0,4.0,2.0,10
-38.0,4.0,2.0,10
-26.0,4.0,2.0,10
-15.0,4.0,2.0,10
-38.0,3.0,2.0,10
-27.0,3.0,2.0,10
-16.0,3.0,2.0,10
-38.0,2.0,2.0,10
-27.0,2.0,2.0,10
-16.0,2.0,2.0,10
-16.0,1.0,2.0,10
-51.0,0.0,2.0,10
-39.0,0.0,2.0,10
-27.0,0.0,2.0,10
-16.0,0.0,2.0,10
-4.0,10.0,2.0,10
-4.0,9.0,2.0,10
-27.0,8.0,2.0,10
-4.0,8.0,2.0,10
-27.0,7.0,2.0,10
-4.0,7.0,2.0,10
-27.0,6.0,2.0,10
-4.0,6.0,2.0,10
-27.0,5.0,2.0,10
-4.0,5.0,2.0,10
-27.0,4.0,2.0,10
-4.0,4.0,2.0,10
-5.0,3.0,2.0,10
-5.0,2.0,2.0,10
-5.0,1.0,2.0,10
-5.0,0.0,2.0,10
7.0,10.0,2.0,10
7.0,9.0,2.0,10
-16.0,8.0,2.0,10
7.0,8.0,2.0,10
-16.0,7.0,2.0,10
7.0,7.0,2.0,10
-16.0,6.0,2.0,10
7.0,6.0,2.0,10
-16.0,5.0,2.0,10
7.0,5.0,2.0,10
-16.0,4.0,2.0,10
7.0,4.0,2.0,10
-4.0,3.0,2.0,10
7.0,3.0,2.0,10
6.0,2.0,2.0,10
6.0,1.0,2.0,10
6.0,0.0,2.0,10
-63.0,3.0,2.0,10
-27.0,9.0,2.0,10
-16.0,9.0,2.0,10
-39.0,2.0,2.0,10
-39.0,1.0,2.0,10
-15.0,3.0,2.0,10
-15.0,2.0,2.0,10
-4.0,2.0,2.0,10
7.0,2.0,2.0,10
-63.0,2.0,2.0,10
-4.0,1.0,2.0,10
7.0,1.0,2.0,10
-63.0,1.0,2.0,10
-4.0,0.0,2.0,10
7.0,0.0,2.0,10
-63.0,0.0,2.0,10
-50.0,3.0,2.0,10
6.0,3.0,2.0,10
-38.0,0.0,2.0,10
18.0,10.0,2.0,10
18.0,9.0,2.0,10
-5.0,8.0,2.0,10
18.0,8.0,2.0,10
-5.0,7.0,2.0,10
18.0,7.0,2.0,10
-5.0,6.0,2.0,10
18.0,6.0,2.0,10
-5.0,5.0,2.0,10
18.0,5.0,2.0,10
-5.0,4.0,2.0,10
18.0,4.0,2.0,10
18.0,3.0,2.0,10
17.0,2.0,2.0,10
17.0,1.0,2.0,10
17.0,0.0,2.0,10
18.0,2.0,2.0,10
18.0,1.0,2.0,10
18.0,0.0,2.0,10
17.0,3.0,2.0,10
29.0,10.0,2.0,10
29.0,9.0,2.0,10
6.0,8.0,2.0,10
29.0,8.0,2.0,10
6.0,7.0,2.0,10
29.0,7.0,2.0,10
6.0,6.0,2.0,10
29.0,6.0,2.0,10
6.0,5.0,2.0,10
29.0,5.0,2.0,10
6.0,4.0,2.0,10
29.0,4.0,2.0,10
29.0,3.0,2.0,10
28.0,2.0,2.0,10
28.0,1.0,2.0,10
28.0,0.0,2.0,10
29.0,2.0,2.0,10
29.0,1.0,2.0,10
5.0,0.0,2.0,10
29.0,0.0,2.0,10
-37.0,9.0,2.0,10
-37.0,8.0,2.0,10
-37.0,7.0,2.0,10
-50.0,2.0,2.0,10
-50.0,1.0,2.0,10
28.0,3.0,2.0,10
5.0,1.0,2.0,10
-24.0,10.0,2.0,10
-13.0,10.0,2.0,10
-2.0,10.0,2.0,10
-24.0,9.0,2.0,10
-13.0,9.0,2.0,10
-2.0,9.0,2.0,10
-2.0,8.0,2.0,10
-13.0,7.0,2.0,10
-37.0,6.0,2.0,10
-2.0,6.0,2.0,10
-2.0,5.0,2.0,10
-37.0,4.0,2.0,10
-2.0,4.0,2.0,10
9.0,10.0,2.0,10
9.0,9.0,2.0,10
-14.0,8.0,2.0,10
9.0,8.0,2.0,10
9.0,7.0,2.0,10
9.0,6.0,2.0,10
9.0,5.0,2.0,10
8.0,2.0,2.0,10
8.0,1.0,2.0,10
20.0,10.0,2.0,10
20.0,9.0,2.0,10
-3.0,8.0,2.0,10
20.0,8.0,2.0,10
-3.0,7.0,2.0,10
20.0,7.0,2.0,10
-3.0,6.0,2.0,10
20.0,6.0,2.0,10
20.0,5.0,2.0,10
-3.0,4.0,2.0,10
20.0,4.0,2.0,10
20.0,3.0,2.0,10
19.0,2.0,2.0,10
19.0,1.0,2.0,10
19.0,0.0,2.0,10
-24.0,8.0,2.0,10
-37.0,3.0,2.0,10
20.0,2.0,2.0,10
20.0,1.0,2.0,10
20.0,0.0,2.0,10
8.0,3.0,2.0,10
19.0,3.0,2.0,10
31.0,10.0,2.0,10
31.0,9.0,2.0,10
8.0,8.0,2.0,10
31.0,8.0,2.0,10
8.0,7.0,2.0,10
31.0,7.0,2.0,10
8.0,6.0,2.0,10
31.0,6.0,2.0,10
8.0,5.0,2.0,10
31.0,5.0,2.0,10
8.0,4.0,2.0,10
31.0,4.0,2.0,10
31.0,3.0,2.0,10
31.0,2.0,2.0,10
30.0,1.0,2.0,10
30.0,0.0,2.0,10
31.0,1.0,2.0,10
31.0,0.0,2.0,10
30.0,2.0,2.0,10
42.0,10.0,2.0,10
42.0,9.0,2.0,10
19.0,8.0,2.0,10
42.0,8.0,2.0,10
19.0,7.0,2.0,10
42.0,7.0,2.0,10
19.0,6.0,2.0,10
42.0,6.0,2.0,10
19.0,5.0,2.0,10
42.0,5.0,2.0,10
19.0,4.0,2.0,10
42.0,4.0,2.0,10
42.0,3.0,2.0,10
